ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
carroma01,0.098,26,0.8780487804878049,0.573170731707317,1878,26.083,0.118,14.6,0,0,4.61675
boshch01,0.224,22,0.8522727272727273,0.8522727272727273,2880,38.4,0.173,24.103,1,2,10.379999999999999
hillgr01,0.033,34,0.8023255813953488,0.7906976744186046,2152,31.188,0.122,17.496,1,0,5.469666666666666
fordtj01,0.144,23,0.9204545454545454,0.8636363636363636,2379,29.37,0.092,19.855,1,0,4.55975
jonesda02,0.014,26,0.9512195121951219,0.3048780487804878,1671,21.423,0.02,9.6,0,0,0.69625
pietrmi01,0.062,24,0.8924731182795699,0.40860215053763443,2146,25.855,0.089,14.262,1,0,3.979041666666667
cookbr01,0.063,26,0.8045977011494253,0.27586206896551724,1069,15.271,0.085,15.025,1,0,1.8930208333333336
blatcan01,0.044,20,0.6744186046511628,0.1511627906976744,707,12.19,0.035,12.745,1,0,0.5155208333333333
anthoca01,0.234,22,0.8045977011494253,0.8045977011494253,2696,38.514,0.141,23.967,1,2,7.919499999999999
diawbo01,0.162,24,0.8924731182795699,0.6344086021505376,2503,30.157,0.097,14.181,1,0,5.058145833333334
howardw01,0.109,21,1.0,1.0,3190,37.093,0.154,21.945,1,2,10.234583333333333
milescj01,0.014,19,0.3838383838383838,0.13131313131313133,376,9.895,-0.064,2.876,2,0,-0.5013333333333333
allenma01,0.018,28,0.7065217391304348,0.010869565217391304,672,10.338,0.075,10.096,1,0,1.05
nocioan01,0.153,27,0.6847826086956522,0.33695652173913043,1603,25.444,0.14,16.889,1,0,4.675416666666667
hayesch01,0.031,23,0.9550561797752809,0.5617977528089888,1911,22.482,0.179,15.049,1,0,7.126437499999999
jamesle01,0.234,22,0.9607843137254902,0.9607843137254902,4083,41.663,0.206,31.191,3,2,17.522875
iveyro01,0.015,25,0.6463414634146342,0.21951219512195122,539,10.17,0.027,9.6,0,0,0.3031875
barbole01,0.101,24,0.978494623655914,0.20430107526881722,2962,32.549,0.151,20.136,1,2,9.317958333333333
milicda01,0.117,21,0.9767441860465116,0.18604651162790697,2028,24.143,0.083,15.032,1,0,3.5067500000000003
ridnolu01,0.117,25,0.8658536585365854,0.7073170731707317,2091,29.451,0.053,13.7,0,0,2.3088124999999997
lewisra02,0.267,27,0.7317073170731707,0.7317073170731707,2348,39.133,0.155,20.7,0,0,7.582083333333333
poseyja01,0.058,30,0.872093023255814,0.23255813953488372,2058,27.44,0.13,13.533,1,0,5.57375
bellch01,0.056,27,1.0,0.7804878048780488,2848,34.732,0.067,13.1,0,0,3.9753333333333334
collini01,0.103,26,1.0,0.6829268292682927,2378,29.0,0.093,14.2,0,0,4.607375
