const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,batumni01,2016,27.0,0.8426966292134831,0.8089887640449438,2592.0,34.56,0.098,16.312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,willire02,2011,24.0,0.975609756097561,0.10975609756097561,1626.0,20.325,0.109,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,alstora01,2004,27.0,1.0,0.29473684210526313,2876.0,30.274,0.11,14.843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,robingl02,2020,26.0,0.8493150684931506,0.7123287671232876,1786.0,28.806,0.078,13.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,hardeja01,2022,32.0,0.8191489361702128,0.8191489361702128,2899.0,37.649,0.151,24.225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,cabocbr01,2018,22.0,0.14634146341463414,0.0,107.0,8.917,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,weaveky01,2009,22.0,0.6829268292682927,0.23170731707317074,1166.0,20.821,0.049,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,lopezbr01,2015,26.0,0.8863636363636364,0.5681818181818182,2334.0,29.923,0.16,25.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jordade01,2021,32.0,0.7916666666666666,0.5972222222222222,1246.0,21.86,0.15,17.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,barrybr01,2004,32.0,0.7195121951219512,0.6463414634146342,1803.0,30.559,0.152,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,howardw01,2021,35.0,0.9642857142857143,0.07142857142857142,1345.0,16.605,0.161,19.818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jonesso01,2012,27.0,0.3181818181818182,0.015151515151515152,292.0,13.905,0.049,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,jackja01,2013,29.0,0.9680851063829787,0.0851063829787234,2775.0,30.495,0.114,19.056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,warriha01,2009,26.0,1.0,0.08536585365853659,2029.0,24.744,0.111,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,mohamna01,2001,23.0,0.7073170731707317,0.2682926829268293,912.0,15.724,0.132,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,perkike01,2015,30.0,0.7450980392156863,0.029411764705882353,1181.0,15.539,0.004,7.109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,exumda01,2018,22.0,0.25806451612903225,0.0,349.0,14.542,0.143,20.581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,dragigo01,2015,28.0,0.9512195121951219,0.9512195121951219,2640.0,33.846,0.124,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,lawsoty01,2016,28.0,0.8202247191011236,0.14606741573033707,1485.0,20.342,0.031,9.962,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,stevede01,2006,24.0,1.0,1.0,2648.0,32.293,0.044,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,caldejo01,2018,36.0,0.6730769230769231,0.33653846153846156,1018.0,14.543,0.095,11.983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,cartean01,2010,34.0,0.625,0.07954545454545454,866.0,15.745,0.05,10.371,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,boykiea01,2010,33.0,0.8170731707317073,0.012195121951219513,1117.0,16.672,0.043,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hicksjj01,2015,26.0,0.8902439024390244,0.0975609756097561,1411.0,19.329,0.061,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,dragigo01,2022,35.0,0.29069767441860467,0.09302325581395349,576.0,23.04,0.039,13.068,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,cookda02,2008,20.0,0.7195121951219512,0.23170731707317074,1441.0,24.424,-0.013,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,johnswe01,2016,28.0,0.9772727272727273,0.10227272727272728,1743.0,20.267,0.075,11.499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,butlera01,2004,24.0,0.5789473684210527,0.0,733.0,13.327,0.114,14.859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,sampsja02,2018,24.0,0.2682926829268293,0.07317073170731707,344.0,15.636,0.112,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,watsoea01,2013,33.0,0.5853658536585366,0.04878048780487805,829.0,17.271,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,douglch01,2014,27.0,0.6162790697674418,0.09302325581395349,1086.0,20.491,0.113,13.502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
